Numeric Value,Category Name,Sub
403,Навага ,4_1_4_4
404,Навага  жареная ,4_1_4_5
405,Пикша ,4_1_4_6
406,Путассу ,4_1_4_7
407,Треска  ,4_1_4_8
408,Треска  отварная ,4_1_4_9
409,Треска  припущенная ,4_1_4_10
410,Треска  тушёная ,4_1_4_11
411,Треска  запеченная ,4_1_4_12
412,Котлеты  рыбные,4_1_4_13
413,Котлеты  из  трески ,4_1_4_14
414,Галки  из  трески ,4_1_4_15
415,Треска жареная,4_1_4_16
416,Солянка рыбная,4_1_4_17
417,Треска соленая   ,4_1_4_18
418,Треска горячего копчения   ,4_1_4_19
419,Навага. Консервы  ,4_1_4_20
420,Треска копченая в масле. Консервы   ,4_1_4_21
421,Хек ,4_1_4_22
422,Хек припущенный,4_1_4_23
423,Зразы  из  хека ,4_1_4_24
424,Камбала  дальневосточная ,4_1_5_1
425,Камбала обжаренная в масле. Консервы   ,4_1_5_2
426,Палтус  белокорый ,4_1_5_3
427,Горбуша ,4_1_6_1
428,Горбуша отварная,4_1_6_2
429,Горбуша  солёная  ,4_1_6_3
430,Бутербод с соленой горбушей,4_1_6_4
431,Бутербод с лососем,4_1_6_5
432,Горбуша натуральная. Консервы   ,4_1_6_6
433,Горбуша в томатном соусе. Консервы   ,4_1_6_7
434,Кета  ,4_1_6_8
435,Кета соленая  ,4_1_6_9
436,Кета  натуральная.  Консервы ,4_1_6_10
437,Кижуч ,4_1_6_11
438,Лосось  антлантический  (сёмга)  ,4_1_6_12
439,Семга соленая потрошеная   ,4_1_6_13
440,Нерка ,4_1_6_14
441,Нерка натуральная. Консервы   ,4_1_6_15
442,Чавыча  ,4_1_6_16
443,Лосось копченый,4_1_6_17
444,Хребты лосося,4_1_6_18
445,Брюшки лосося,4_1_6_19
446,Форель,4_1_6_20
447,Форель соленая,4_1_6_21
448,Форель жареная,4_1_6_22
449,Лосось, приготовленный с овощами,4_1_6_23
450,Вобла ,4_1_7_1
451,Вобла холодного копчения ,4_1_7_2
452,Карась ,4_1_7_3
453,Карп ,4_1_7_4
454,Карп  жареный ,4_1_7_5
455,Лещ  ,4_1_7_6
456,Лещ  горячего  копчения  ,4_1_7_7
457,Лещ холодного копчения  ,4_1_7_8
458,Лещ вяленый  ,4_1_7_9
459,Лещ в томатном соусе. Консервы  ,4_1_7_10
460,Сазан  ,4_1_7_11
461,Сазан в томатном соусе. Консервы  ,4_1_7_12
462,Осетр каспийский  ,4_1_8_1
463,Осетр жаренный во фритюре,4_1_8_2
464,Осетр припущенный,4_1_8_3
465,Осётр  отварной ,4_1_8_4
466,Балык осетровый холодного копчения   ,4_1_8_5
467,Теша  осетровая  холодного  копчения  ,4_1_8_6
468,Осетр в томатном соусе. Консервы   ,4_1_8_7
469,Севрюга  ,4_1_8_8
470,Севрюга припущенная,4_1_8_9
471,Севрюга в томатном соусе. Консервы   ,4_1_8_10
472,Окунь речной  ,4_1_9_1
473,Окунь морской  ,4_1_9_2
474,Окунь  морской  отварной ,4_1_9_3
475,Окунь морской тушеный,4_1_9_4
476,Окунь  жареный ,4_1_9_5
477,Окунь запеченный,4_1_9_6
478,Окунь  припущенный ,4_1_9_7
479,Окунь  фаршированный ,4_1_9_8
480,Шницель рыбный из окуня,4_1_9_9
481,Окунь  горячего  копчения ,4_1_9_10
482,Салат рыбный из окуня,4_1_9_11
483,Судак   ,4_1_9_12
484,Судак отварной,4_1_9_13
485,Судак  припущенный  ,4_1_9_14
486,Судак фаршированный,4_1_9_15
487,Судак жареный,4_1_9_16
488,Зразы  из  судака ,4_1_9_17
489,Судак в томатном соусе. Консервы   ,4_1_9_18
490,Бычки в томатном соусе. Консервы   ,4_1_9_19
491,Бычки  жареные  ,4_1_9_20
492,Тунец  ,4_10_1
493,Тунец  в  масле.  Консервы  ,4_10_3
494,Тунец натуральный. Консервы   ,4_10_2
495,Зубатка жареная,4_11_3
496,Мойва весенняя  ,4_12_1
497,Мойва жареная,4_12_4
498,Мойва сезонная,4_12_3
499,Мойва холодного копчения,4_12_5
500,Анчоус в т.ч. хамса,4_13_14
501,Кефаль,4_13_6
502,Сайра,4_13_12
503,Сайра. Консервы,4_13_13
504,Сом  ,4_13_2
505,Щука  ,4_13_7
506,Барабуля (султанка) жареная,4_14_1
507,Печень  другой рыбы,4_14_4
508,Печень  трески.  Консервы   ,4_14_3
509,Салат с печенью  трески,4_14_2
510,Бутерброд  с  зернистой  икрой  кеты ,4_15_10
511,Икра Горбуша  зернистая  ,4_15_2
512,Икра других рыб,4_15_5
513,Икра имитация из альгината,4_15_6
514,Икра Кета зернистая  ,4_15_3
515,Икра Минтаевая  пробойная  ,4_15_4
516,Икра Осетровая  зернистая  ,4_15_7
517,Молоки рыб,4_15_12
518,Краб, мясо,4_16_1
519,Крабы натуральные. Консервы  ,4_16_3
520,Креветка варёная,4_16_12
521,Креветка дальневосточная (мясо)  ,4_16_6
522,Креветка жаренная,4_16_11
523,Креветка неочищенная,4_16_10
524,Креветка очищенная,4_16_9
525,Раки речные варёные  ,4_16_14
526,Салат крабовый,4_16_5
527,Салат Цезарь с креветками,4_16_4
528,Кальмар,4_17_1
529,Кальмары жаренные,4_17_3
530,Кальмары копченные,4_17_4
531,Кальмары с морковью,4_17_2
532,Мидии  ,4_17_6
533,Осьминог,4_17_5
534,Биск с крабом,4_19_17
535,Вяленная рыба ассорти ,4_19_13
536,Заливное с рыбой,4_19_20
537,Котлета рыбная,4_19_9
538,Крабовые палочки,4_19_1
539,Лосось, холодная закуска ,4_19_22
540,Морепродукты, ассорти,4_19_19
541,Паста, крем с морепродуктами,4_19_8
542,Паштет, риет из рыбы,4_19_7
543,Пельмени с рыбой,4_18_3
544,Пироги с рыбой,4_19_2
545,Рыба жареная,4_19_10
546,Рыба жареная на гриле или углях,4_19_11
547,Рыба запеченная,4_19_12
548,Салат из крабовых палочек,4_19_3
549,Салат рыбный,4_19_4
550,Салат с лососем,4_19_6
551,Салат с морепродуктами,4_19_5
552,Суп Том-Ям,4_19_15
553,Суповой набор рыбный,4_19_16
554,Уха ,4_19_14
555,Фарш из рыбы,4_19_18
556,Хе из рыбы,4_19_23
557,Суши ролл с рыбой или морепродуктами,4_19_29
558,Суши с лососем,4_19_26
559,Суши ролл Калифорния,4_19_24
560,Суши ролл Филадельфия,4_19_25
561,Суши с креветкой,4_19_27
562,Суши с угрем,4_19_28
563,Суши  ассорти,4_19_30
564,Скумбрия  дальневосточная ,4_2_5
565,Скумбрия  натуральная.  Консервы ,4_2_3
566,Скумбрия атлантическая ,4_2_1
567,Скумбрия холодного копчения ,4_2_2
568,Барабуля (султанка) жареная,4_2_1
569,Салат с печенью  трески,4_2_2
570,Печень  трески.  Консервы   ,4_2_3
571,Печень  другой рыбы,4_2_4
572,Желтый полосатик сушенный,4_3_5
573,Икра Белужья  зернистая ,4_3_1
574,Икра Горбуша  зернистая  ,4_3_2
575,Икра Кета зернистая  ,4_3_3
576,Икра Минтаевая  пробойная  ,4_3_4
577,Икра других рыб,4_3_5
578,Икра имитация из альгината,4_3_6
579,Икра Осетровая  зернистая  ,4_3_7
580,Икра Осетровая  паюсная   ,4_3_8
581,Икра Севрюжья  зернистая  ,4_3_9
582,Бутерброд  с  зернистой  икрой  кеты ,4_3_10
583,Бутерброд  с  икрой  осетровой  зернистой    ,4_3_11
584,Молоки рыб,4_3_12
585,Котлеты  из  трески ,4_4_14
586,Котлеты  рыбные,4_4_13
587,Минтай ,4_4_1
588,Минтай припущенный,4_4_2
589,Навага ,4_4_4
590,Навага  жареная ,4_4_5
591,Навага. Консервы  ,4_4_20
592,Путассу ,4_4_7
593,Треска  ,4_4_8
594,Треска  запеченная ,4_4_12
595,Треска  отварная ,4_4_9
596,Треска  припущенная ,4_4_10
597,Треска  тушёная ,4_4_11
598,Треска жареная,4_4_16
599,Фрикадельки  из  минтая ,4_4_3
600,Хек ,4_4_22
601,Краб, мясо,4_4_1
602,Краб, мясо,4_4_2
603,Крабы натуральные. Консервы  ,4_4_3
604,Салат Цезарь с креветками,4_4_4
605,Салат крабовый,4_4_5
606,Креветка дальневосточная (мясо)  ,4_4_6
607,Креветка антарктическая (мясо) варённо-мороженная  ,4_4_7
608,Креветка антарктическая натуральная. Консервы  ,4_4_8
609,Креветка очищенная,4_4_9
610,Креветка неочищенная,4_4_10
611,Креветка жаренная,4_4_11
612,Креветка варёная,4_4_12
613,Рачки речные  ,4_4_13
614,Раки речные варёные  ,4_4_14
615,Раки морские (лангуст, омар)  ,4_4_15
616,Раки морские варёные  ,4_4_16
617,Камбала  дальневосточная ,4_5_1
618,Палтус  белокорый ,4_5_3
619,Кальмар,4_5_1
620,Кальмары с морковью,4_5_2
621,Кальмары жаренные,4_5_3
622,Кальмары копченные,4_5_4
623,Осьминог,4_5_5
624,Мидии  ,4_5_6
625,Устрица  ,4_5_7
626,Брюшки лосося,4 _6_1
627,Бутербод с лососем,4 _6_1
628,Бутербод с соленой горбушей,4 _6_1
629,Горбуша ,4_6_1
630,Горбуша  солёная  ,4 _6_1
631,Горбуша натуральная. Консервы   ,4 _6_1
632,Горбуша отварная,4 _6_1
633,Кета  ,4 _6_1
634,Кета  натуральная.  Консервы ,4 _6_1
635,Кета соленая  ,4 _6_1
636,Лосось  антлантический  (сёмга)  ,4 _6_1
637,Лосось копченый,4 _6_1
638,Лосось, приготовленный с овощами,4 _6_1
639,Нерка ,4 _6_1
640,Нерка натуральная. Консервы   ,4 _6_1
641,Семга соленая потрошеная   ,4 _6_1
642,Форель,4 _6_1
643,Форель соленая,4 _6_1
644,Хребты лосося,4 _6_1
645,Китовое мясо  ,4_6_1
646,Мясо ластоногих  ,4_6_2
647,Вобла ,4 _7_1
648,Карп ,4 _7_1
649,Карп  жареный ,4 _7_1
650,Лещ вяленый  ,4 _7_1
651,Суши  ассорти,4_7_31
652,Пельмени с рыбой,4_7_1
653,Крабовые палочки,4_7_2
654,Пироги с рыбой,4_7_3
655,Салат из крабовых палочек,4_7_4
656,Салат рыбный,4_7_5
657,Салат с морепродуктами,4_7_6
658,Салат с лососем,4_7_7
659,Паштет, риет из рыбы,4_7_8
660,Паста, крем с морепродуктами,4_7_9
661,Котлета рыбная,4_7_10
662,Рыба жареная,4_7_11
663,Рыба жареная на гриле или углях,4_7_12
664,Рыба запеченная,4_7_13
665,Вяленная рыба ассорти ,4_7_14
666,Уха ,4_7_15
667,Суп Том-Ям,4_7_16
668,Суповой набор рыбный,4_7_17
669,Биск с крабом,4_7_18
670,Фарш из рыбы,4_7_19
671,Морепродукты, ассорти,4_7_20
672,Заливное с рыбой,4_7_21
673,Рыба с макаронами,4_7_22
674,Лосось, холодная закуска ,4_7_23
675,Хе из рыбы,4_7_24
676,Суши ролл Калифорния,4_7_25
677,Суши ролл Филадельфия,4_7_26
678,Суши с лососем,4_7_27
679,Суши с креветкой,4_7_28
680,Суши с угрем,4_7_29
681,Суши ролл с рыбой или морепродуктами,4_7_30
682,Бычки  жареные  ,4_9_20
683,Бычки в томатном соусе. Консервы   ,4_9_19
684,Окунь  жареный ,4_9_5
685,Окунь запеченный,4_9_6
686,Судак   ,4_9_12
687,Судак  припущенный  ,4_9_14
688,Судак в томатном соусе. Консервы   ,4_9_18
689,Судак жареный,4_9_16
690,Судак отварной,4_9_13
691,Шницель рыбный из окуня,4_9_9
692,Масло сладко-сливочное «Вологодское»    ,5_1_2
693,Масло сладко-сливочное несоленое ,5_1_1
